styrk98_7digit,styrk08_4digit
1317103,1211
1317104,1346
1317105,1219
1317106,1349
1317107,1346
1317108,1346
1317109,1219
1317110,1439
1317111,1330
1317112,1223
1317113,1346
1317114,1219
1317115,1346
1317116,1222
1317117,1219
1317118,1346
1317119,1219
1317120,1219
1317121,1219
1317122,1219
1317123,1219
1318101,1439
1318103,1219
1318104,1439
1318105,1439
1318106,1439
1318107,1439
1318108,1439
1318109,1219
1318110,1439
1318111,1120
1318112,1219
1318113,1431
1319101,1342
1319102,1342
1319103,1431
1319104,1431
1319105,1343
1319106,1341
1319107,1341
1319108,1341
1319109,1344
1319111,1345
1319112,1431
1319113,1345
1319114,1345
1319115,1343
1319116,1342
1319117,1341
1319118,1349
1319119,1431
1319120,1120
1319121,1219
1319122,1345
1319123,1344
1319124,1349
1319125,1345
1319126,1342
1319127,1431
1319128,1439
1319129,1344
1319130,1431
2111101,2111
2111102,2111
2111103,2111
2111104,2111
2111105,2111
2111106,2111
2111107,2111
2111108,2111
2111109,2111
2112101,2112
2112102,2112
2112103,2114
2112104,2112
2112105,2112
2112106,2112
2112107,2112
2112108,2112
2112109,2112
2113101,2113
2113102,2113
2113103,2113
2113104,2113
2113105,2113
2113107,2113
2113108,2114
2113109,2113
2113110,2113
2113111,2113
2114101,2114
2114102,2114
2114103,2114
2114104,2114
2114105,2114
2114106,2114
2114107,2114
2114108,2114
2114109,2114
2114110,2114
2114111,2114
2114112,2114
2114113,2114
2114114,2114
2114115,2114
2114116,2114
2114117,2114
2114118,2114
2121101,2120
2121102,2120
2121103,2120
2121104,2120
2121105,2120
2121106,2120
2122101,2120
2122102,2120
2122103,2120
2122104,2120
2122105,2120
2122106,2120
2122107,2120
2122108,2120
2122109,2120
2130101,2521
2130102,2512
2130103,2521
2130104,2512
2130105,2522
2130106,2511
2130107,2511
2130108,2511
2130109,2511
2130110,3514
2130111,2511
2130112,3512
2130113,2511
2130114,2522
2130115,2522
2130117,2519
2130119,2529
2130120,2519
2130121,2529
2130122,2511
2130123,2519
2130124,2511
2130125,2519
2130126,2519
2130128,2511
2130129,2511
2130130,2519
2130131,2511
2130132,2511
2130133,2511
2130134,3512
2130135,2512
2130136,3512
2130137,2519
2130138,3514
2130139,3514
2130140,3514
2130141,2513
2130142,2511
2130143,2511
2130144,2511
2130145,2511
2130146,2511
2130147,2511
2130148,2513
2130149,2513
2130150,2513
2130151,2512
2130152,2512
2130153,2511
2130154,2434
2130155,2511
2130156,2511
2130157,2513
2130158,2513
2130159,2513
2130160,2514
2130161,2519
2130162,2519
2130163,2519
2130164,2521
2130165,2522
2130166,2522
2130167,2523
2130168,2529
2130169,2511
2130170,2511
2130171,2513
2130172,2513
2130173,2512
2130174,2511
2130175,2511
2130176,2511
2130177,2519
2130178,2511
2130179,2512
2130180,2512
2130181,2511
2130182,2511
2130183,2511
2130184,2511
2130185,2511
2130186,2519
2141102,2161
2141103,2161
2141104,2161
2141105,2164
2141106,2161
2141107,2164
2141108,2133
2141109,2164
2141110,2162
2141111,2162
2141112,2162
2141113,2164
2141114,2164
2141115,2161
2141116,2163
2141117,2162
2141118,2161
2141119,2161
2141120,2161
2141121,2161
2141122,2161
2141123,2142
2141124,2142
2141125,2164
2141126,2164
2141127,2164
2141128,2161
2141129,2161
2141130,2162
2141131,2161
2142101,2142
2142102,2142
2142103,2142
2142104,2142
2142105,2142
2142106,2142
2142107,2142
2142108,2142
2142109,2142
2142110,2142
2142111,2142
2142112,2142
2142113,2142
2142114,2142
2142115,2142
2142116,2142
2142117,2142
2142118,2142
2142119,2142
2142120,2142
2142121,2142
2142122,2142
2142123,2142
2142124,2142
2142125,2142
2142126,2142
2142127,2142
2142128,2142
2142129,2142
2142130,2142
2142131,2142
2142132,2142
2143101,2151
2143102,2151
2143103,2151
2143104,2151
2143106,2151
2143107,2151
2143108,2151
2143109,2151
2143110,2151
2143111,2151
2143112,2151
2143113,2151
2143114,2151
2143115,2151
2143116,2151
2143117,2151
2143118,2151
2143119,2151
2143120,2151
2143121,2151
2143122,2151
2143123,2151
2143124,2151
2143125,2151
2143126,2151
2143127,2151
2144101,2152
2144102,2152
2144103,2152
2144104,2152
2144105,2152
2144106,2152
2144107,2152
2144108,2152
2144109,2152
2144110,2152
2144111,2152
2144112,2152
2144113,2152
2144114,2152
2144115,2152
2144116,2152
2144117,2152
2144118,2152
2144119,2152
2144120,2152
2144121,2152
2144122,2152
2144123,2152
2144124,2152
2144125,2152
2144126,2152
2144127,2152
2144128,2152
2144129,2152
2144130,2152
2144131,2152
2144132,2152
2144133,2153
2144134,2153
2144135,2153
2144136,2153
2144137,2153
2144138,2153
2144139,2153
2144140,2153
2144141,2153
2144142,2153
2144143,2153
2144144,2153
2144145,2153
2144146,2153
2144147,2153
2144148,2153
2144149,2153
2144150,2153
2144151,2153
2144152,2153
2144153,2153
2144154,2153
2144155,2153
2144156,2153
2144157,2153
2144158,2153
2144159,2153
2144160,2153
2145101,2144
2145102,2144
2145103,2144
2145104,2144
2145105,2144
2145106,2144
2145107,2144
2145108,2149
2145109,2146
2145110,2144
2145111,2144
2145112,2144
2145113,2144
2145114,2144
2145115,2144
2145116,2144
2145117,2144
2145118,2144
2145119,2144
2145120,2144
2145121,2144
2145122,2144
2145123,2144
2145124,2144
2145125,2144
2145126,2144
2145127,2144
2145128,2144
2145129,2144
2145130,2144
2146101,2145
2146102,2145
2146103,2145
2146104,2145
2146105,2145
2146106,2145
2146107,2145
2146108,2145
2146109,2145
2146110,2145
2146111,2145
2146112,2145
2146113,2145
2146114,2145
2146115,2145
2146116,2145
2146117,2145
2146118,2145
2146119,2145
2146120,2145
2146122,2145
2146123,2145
2146124,2145
2147101,2146
2147102,2146
2147103,2146
2147104,2146
2147105,2146
2147106,2146
2147107,2146
2147108,2146
2147109,2146
2147110,2146
2147111,2146
2147112,2146
2147113,2146
2147114,2146
2147115,2146
2147116,2146
2147117,2146
2147118,2146
2147119,2146
2147120,2146
2147121,2146
2147122,2146
2147123,2146
2147124,2146
2147125,2146
2147126,2146
2147127,2146
2147128,2146
2147129,2146
2147130,2146
2147131,2146
2147132,2146
2147133,2146
2147134,2146
2147135,2146
2147136,2146
2147137,2146
2147138,2146
2147139,2146
2147140,2146
2147142,2146
2147143,2146
2147144,2146
2147145,2146
2147146,2146
2147147,2146
2147148,2146
2147149,2146
2147150,2146
2147151,2146
2147152,2146
2147153,2146
2147154,2146
2147155,2146
2147156,2146
2147157,2146
2147158,2146
2147159,2146
2147160,2146
2147161,2146
2147162,2146
2147163,2146
2147164,2146
2147165,2146
2147166,2146
2147167,2146
2148102,2165
2148103,2165
2148104,2165
2148105,2165
2148106,2165
2148107,2165
2148108,2165
2148109,2165
2148110,2165
2148111,2165
2148112,2164
2148113,2165
2148114,2165
2148115,2165
2148117,2165
2148118,2165
2148119,2165
2148120,2165
2148121,2165
2148122,2165
2148123,2165
2148124,2165
2148125,2165
2148126,2165
2148127,2164
2149101,2149
2149102,2164
2149103,2120
2149104,2111
2149105,2143
2149106,2141
2149107,2143
2149108,2143
2149109,2145
2149110,2141
2149111,2141
2149112,2141
2149113,2141
2149114,2141
2149115,2141
2149116,2141
2149117,2141
2149118,2146
2149119,2149
2149120,2149
2149121,2149
2149122,2149
2149123,2149
2149124,2149
2149125,2149
2149126,2149
2149127,2149
2149128,2133
2149129,2144
2149130,2144
2149131,2144
2149132,2144
2149133,2149
2149134,2149
2149135,2143
2149136,2141
2149137,2163
2149138,2149
2149139,2141
2149140,2142
2149141,2149
2149142,2149
2149143,2144
2149144,2144
2211101,2131
2211102,2131
2211103,2131
2211104,2131
2211105,2131
2211106,2131
2211107,2131
2211108,2131
2211109,2131
2211110,2131
2211111,2131
2211112,2131
2211113,2131
2211114,2131
2211115,2131
2211116,2131
2211117,2131
2211118,2131
2211119,2131
2211120,2131
2211121,2131
2211122,2131
2211123,2131
2211124,2131
2211125,2131
2211126,2131
2211127,2131
2211128,2131
2212102,2132
2212103,2132
2212104,2132
2212105,2132
2212106,2132
2212107,2132
2212108,2132
2212109,2132
2212110,2132
2212111,2132
2212112,2132
2212113,2132
2212114,2132
2212115,2132
2212116,2132
2212117,2132
2212118,2132
2212119,2132
2212120,2132
2212121,2132
2212122,2132
2212123,2132
2212124,2132
2212125,2132
2212126,2132
2212127,2132
2221101,2211
2221102,2211
2221103,2212
2221104,2212
2221105,2211
2221106,2212
2221107,2212
2221108,2212
2221109,2211
2221110,2211
2221111,2212
2221112,2212
2221113,2212
2221114,2212
2221115,2212
2221116,2212
2221117,2211
2221118,2212
2221120,2211
2221121,2211
2221122,2212
2221123,2211
2221124,2261
2221125,2212
2221126,2212
2221127,2212
2221128,2212
2221129,2211
2221130,2212
2221132,2212
2221133,2212
2221134,2211
2221135,2211
2221136,2211
2221137,2211
2221138,2211
2221139,2211
2221140,2211
2221141,2212
2221142,2211
2221143,2212
2221144,2212
2221145,2212
2221146,2212
2221147,2212
2221148,2212
2221149,2212
2221150,2211
2221151,2212
2221152,2212
2221153,2212
2221154,2212
2222101,2261
2222102,2261
2222103,2261
2222104,2261
2222106,2261
2222107,2261
2222109,2261
2222110,2261
2222111,2261
2222112,2261
2222113,2261
2222114,2261
2222115,2261
2222116,2261
2222117,2261
2223101,2250
2223102,2250
2223103,2250
2223104,2250
2223105,2250
2223106,2250
2223107,2250
2223108,2250
2223109,2250
2223110,2250
2223111,2250
2223112,2250
2223113,2250
2224101,1420
2224102,2262
2224103,2262
2224104,2262
2224105,2262
2224106,2262
2224107,2262
2224108,2262
2224109,2262
2224110,2262
2224111,2262
2224112,2262
2225101,2265
2225102,2265
2225103,2265
2225104,2265
2230101,2221
2230102,2222
2230103,2221
2230104,2221
2230105,2222
2230106,2223
2230107,2221
2230108,2222
2230109,2221
2230110,2221
2230111,2222
2230112,2221
2230113,1342
2230114,2221
2230115,2221
2230116,2221
2230117,2221
2230118,2221
2230119,2221
2230120,2222
2230121,2221
2230122,2221
2230123,2221
2230124,1342
2230125,2222
2230126,2221
2230127,2221
2230128,2221
2230129,2221
2230130,2221
2310101,2310
2310102,2310
2310103,2310
2310104,2310
2310105,2310
2310106,2310
2310107,2310
2310108,2310
2310111,2310
2310112,2310
2310113,2310
2310114,2310
2310115,2310
2310116,2310
2310117,2310
2310118,2310
2310119,2310
2310120,2310
2310121,2310
2310122,2310
2310123,2310
2310124,2310
2310125,2310
2310126,2310
2320102,2330
2320103,2330
2320104,2330
2320105,2330
2320106,2330
2320107,2330
2320108,2330
2320109,2320
2320110,2330
2320111,2330
2320112,2330
2340101,2266
2340102,2352
2340103,2352
2340104,2352
2340105,2352
2340106,2359
2340107,2352
2351101,2310
2351102,2330
2351103,2351
2351104,2351
2351105,2621
2351106,2621
2352101,2351
2352102,2351
2352103,2351
2352104,2330
2352105,2351
2352106,2351
2352107,2330
2352108,2351
2352109,2330
2352110,2351
2352111,2359
2352112,2330
2352113,1345
2352114,2351
2352115,2310
2352116,2310
2352117,2310
2352118,2424
2352119,2424
2352120,2424
2352121,2351
2352122,2351
2352123,2359
2352124,2359
2352125,2359
2359101,2359
2359102,2354
2359103,2354
2359104,2354
2411101,2422
2411102,2422
2411103,2422
2411104,2422
2411105,2422
2411106,2422
2411107,2422
2411108,2422
2411109,2422
2411110,2422
2411111,2422
2411112,2422
2411113,2422
2411114,2422
2411115,2422
2411116,2422
2411117,2422
2411118,2422
2411119,2422
2411120,2422
2411121,2422
2411122,2422
2411123,2153
2411124,2422
2411125,2422
2412102,2422
2412103,2422
2412104,2422
2412105,2619
2412106,2422
2412107,2422
2412108,2422
2412109,2619
2412110,2422
2412111,2422
2412112,2422
2412113,2422
2412114,2422
2412115,2422
2412116,2422
2412117,2422
2412118,2422
2412119,2422
2412120,2422
2412121,2422
2412122,2422
2412123,2619
2412124,2619
2412125,2422
2412126,2422
2412127,2611
2412128,2422
2412129,2619
2412130,2422
2412131,2619
2413101,2422
2413102,2422
2413103,2422
2413104,2422
2413105,2133
2413106,2422
2413107,2422
2413108,2422
2413109,2422
2413110,2422
2413111,2422
2413113,2133
2413114,2422
2413115,2422
2413116,2422
2413117,2422
2413118,2422
2413119,2422
2413120,2422
2413121,2422
2413122,2422
2413123,2133
2413124,2422
2413125,2422
2413126,2422
2413127,2422
2413128,2422
2413129,2133
2413130,2133
2413131,2133
2413132,2133
2419101,2422
2419105,2422
2419106,2422
2419107,2422
2419108,2422
2419109,2422
2419110,2422
2419111,2422
2419112,2422
2419113,2422
2419114,2422
2419115,2422
2419116,2422
2419117,2422
2419118,2422
2419119,2422
2419120,2422
2419121,2432
2511102,3313
2511103,2411
